i,ParkingGeohash,AvgLatitude,AvgLongitude,AvgTimeToPark,AvgTotalGeohashes,TotalSearching
127,dpj591q,39.99799,-82.91614,3.0306,8.0,6
128,dphupqg,40.11613,-82.99695,8.4553,6.5789,38
129,dpj5frv,40.07768,-82.86259,2.8042,6.5,8
130,dphgr3b,39.95643,-83.00095999999999,5.9311,7.9,30
131,dpj5c5w,40.05408,-82.91624,5.7933,8.5,10
132,dphgqf0,39.95805,-83.02271,4.825,7.3333,6
133,dpj4cyp,39.89224,-82.88175,3.1679,7.8462,13
134,dphgrpv,39.989290000000004,-83.00533,5.0444,8.2222,9
135,dpjh53b,40.08862,-82.82495,2.5375,7.125,8
136,dphgebg,39.994609999999994,-83.15092,4.6733,7.2,5
137,dphgw6b,40.00585,-83.04514,5.8551,8.7692,13
138,dphgr7n,39.96398,-82.9923,4.4412,7.7246,586
139,dphgscb,40.00075,-83.11086999999999,6.4947,8.92,25
140,dphup3e,40.08747,-82.99713,4.4926,7.5556,9
141,dphgwbw,39.993790000000004,-83.01491999999999,6.0673,7.7143,28
142,dpjh56c,40.093990000000005,-82.82406999999999,5.2643,9.8571,7
143,dpj57nm,39.98128,-82.82947,4.7833,6.3333,6
144,dphgwvy,40.02261,-83.01454,3.8,9.2,5
145,dpj51vh,39.93035,-82.88557,3.01,7.0,5
146,dphgzqj,40.067479999999996,-82.99423,2.1306,8.6667,6
147,dphgr7k,39.964890000000004,-82.99574,6.5417,10.25,8
148,dphgrh5,39.96865,-83.00771999999999,4.781000000000001,7.4286,7
149,dpj58h3,40.01415,-82.96701,4.6929,7.2857,7
150,dphgkb7,39.94842,-83.10653,5.1485,9.2727,11
151,dpj59c7,39.99756,-82.88718,3.8452,8.2857,7
152,dphgrk0,39.968579999999996,-83.00086999999999,4.5783,7.35,20
153,dphgx4e,40.004509999999996,-83.00815,7.6306,9.1667,6
154,dphgr6q,39.9595,-82.9928,4.6628,7.9231,13
155,dphgr2c,39.95114,-82.99946,5.0167,8.1667,6
156,dphgqwv,39.98434,-83.02691,3.6067,7.5,10
