i,meter,numparking_tickets,lat,long,nearHash,HashDist
219,UE449,1.0,40.003105,-83.008354,dphgx47,5.408940869489473
220,UE420,1.0,40.002094,-83.00661,dphgx47,5.275679967206245
221,UE404,1.0,40.002014,-83.00723,dphgx47,5.274426208428074
222,UE630,1.0,39.995396,-83.00702,dphgwbz,4.54588760059422
223,UE632,1.0,39.995472,-83.00704,dphgwbz,4.554492993982363
224,UW100,1.0,39.995335,-83.00765,dphgwbz,4.548523230304894
225,UW104,1.0,39.99534,-83.00776,dphgwbz,4.550758710228003
226,UW983,1.0,40.006496000000006,-83.01689,dphgx49,5.934913349176754
227,UW972,1.0,39.995243,-83.01453000000001,dphgwbz,4.679645335612173
228,UW970,1.0,39.995193,-83.01451999999999,dphgwbz,4.6740927243224135
229,UW97,1.0,39.995235,-83.00752,dphgwbz,4.535622070962515
230,UW964,1.0,39.995,-83.01448,dphgwbz,4.652625189744043
231,UW907,1.0,39.993668,-83.01443,dphgwbw,4.51045082944459
232,UW901,1.0,39.993484,-83.01438,dphgwbw,4.489700932409508
233,UW615,1.0,39.995075,-83.00721999999999,dphgwbz,4.513658453314142
234,UW611,1.0,39.99495,-83.007195,dphgwbz,4.4996187940579375
235,UW52,1.0,39.994137,-83.00729,dphgwbz,4.412154798507979
236,UW50,1.0,39.994137,-83.0072,dphgwbz,4.410797765768896
237,UW228,1.0,39.995537,-83.01281999999999,dphgwbz,4.669442639099517
238,UW226,1.0,39.995537,-83.01273,dphgwbz,4.667382346569205
239,UW133,1.0,39.9953,-83.0092,dphgwbz,4.570250353102417
240,UW111,1.0,39.99527,-83.0083,dphgwbz,4.551693566870626
241,UE571,1.0,40.00484,-83.00757,dphgx4e,5.589089201262061
242,K756,1.0,39.983585,-83.00471999999999,dphgrnw,3.220174705729282
243,NI11,1.0,39.962593,-83.00263000000001,dphgr5p,0.9235913298590444
244,EK304,1.0,39.961006,-82.993385,dphgr6x,0.7776027182375932
245,EP103,1.0,39.963885999999995,-82.99792,dphgr75,0.9834795062184905
246,EP10,1.0,39.963745,-83.00036999999999,dphgr70,0.9864066908435488
247,EN533,1.0,39.96342,-82.98910500000001,dphgr7n,1.2093318579008976
248,EN284,1.0,39.963153999999996,-82.99351,dphgr6v,0.9846348381116539
249,EN24,1.0,39.962536,-82.99891,dphgr6f,0.8360805961950427
250,EL211,1.0,39.961437,-82.99528000000001,dphgr6v,0.7519198089095132
251,EK314,1.0,39.961056,-82.99299,dphgr6x,0.8003572026787319
